id,mode,applicability,cost_value_lower_bound,cost_value_upper_bound,units,dollar_year,variable_1,variable_2,variable_3,source,source_url,caveats
R1,Road,Apply when MOUSE reports 'US road (no permits needed)' fits,1.75,5.00,USD per loaded mile,2025,Loaded road miles,,,"Anderson Trucking Service (ATS), Freight Shipping Price Information, accessed July 27, 2026",https://www.atsinc.com/freight-shipping-price-information,General flatbed-market screening estimate rather than a microreactor-specific estimate. The source states that the range applies to shipments of 400 miles or more and excludes fuel and short-haul day rates. The range is treated as a 2025 screening value without escalation. Calculate the cost for each required truck and sum the results. No separate liability-insurance adder is applied; normal carrier insurance is assumed to be embedded in the freight rate.
R2,Road,Apply when MOUSE reports 'US road (no permits needed)' does not fit and gross vehicle weight is less than or equal to 150000 lb,5.00,15.00,USD per loaded mile,2025,Loaded road miles,,,"Peoples, V., Microreactors and Transportation Considerations, Idaho National Laboratory, 2025, slide 7",,"Heavy-haul screening rate for loads exceeding standard weight or dimensional limits. Use R2 instead of R1, not in addition to R1. Gross vehicle weight includes the truck, trailer, and cargo. Calculate the cost for each required truck and sum the results. The source does not clearly state whether fuel, loading, unloading, vehicle positioning, or empty-return mileage is included. No separate liability-insurance adder is applied."
R3,Road,Apply only if gross vehicle weight is greater than 150000 lb,20000,65000,USD per deployment route,2025,,,,"Peoples, V., Microreactors and Transportation Considerations, Idaho National Laboratory, 2025, slide 7",,"Add to R2 for a superload. Covers detailed route planning, bridge analyses, inspections, and stakeholder coordination. Apply once to the common factory-to-site route, not once per truck. The 150000-lb threshold is a simplified MOUSE screening assumption rather than a universal regulatory definition."
L1,Rail,Apply when MOUSE reports 'Rail flatcar (oversized cargo)' fits,50000,250000,USD per rail shipment,2025,,,,"Peoples, V., Microreactors and Transportation Considerations, Idaho National Laboratory, 2025, slide 10",,"Assume one coordinated rail shipment even when several railcars are used. The range may include specialized-train, security, Type B package, and emergency-planning costs, so it may overestimate unirradiated transportation. Route clearance must still be confirmed. When MOUSE identifies specialized rail service, L2-L4 are added as a conservative screening adder; some overlap with the broad L1 range is possible. No separate transload cost is included in this version."
L2,Rail,Apply only when MOUSE reports 'Rail (specialized railcar or special-train planning required)',138,138,USD per rail mile,2025,Transportation distance,,,"Union Pacific, Accessorial Charges, Tariff UP 6004 Item 7040, effective February 1, 2025",https://www.up.com/customers/all/terms/accessorial-charges/,"Special-train mileage charge. Apply once to the coordinated rail shipment, in addition to L1, only when specialized rail service is triggered. Subject to the L3 minimum charge and the L4 special switching charge. Actual railroad quotations and route mileage may differ."
L3,Rail,Apply only when MOUSE reports 'Rail (specialized railcar or special-train planning required)',27500,27500,USD minimum per special-train movement,2025,,,,"Union Pacific, Accessorial Charges, Tariff UP 6004 Item 7040, effective February 1, 2025",https://www.up.com/customers/all/terms/accessorial-charges/,"Minimum special-train charge. MOUSE uses the greater of L3 or the distance-based L2 charge, then adds L4. Apply once to the coordinated rail shipment."
L4,Rail,Apply only when MOUSE reports 'Rail (specialized railcar or special-train planning required)',3200,3200,USD per special-train movement,2025,,,,"Union Pacific, Accessorial Charges, Tariff UP 6004 Item 7040, effective February 1, 2025",https://www.up.com/customers/all/terms/accessorial-charges/,Special switching charge. Apply once to the coordinated rail shipment after the greater of the L2 mileage charge or L3 minimum charge is selected.
S1,Sea,"Apply when MOUSE reports that an 'ISO 20 ft container', 'ISO 40 ft container', or 'ISO 40 ft High Cube container' fits",5000,20000,USD per container,2025,Number of containers,,,"Peoples, V., Microreactors and Transportation Considerations, Idaho National Laboratory, 2025, slide 9",,"Applies to unfueled containerized transportation. Multiply by the number of containers required after assigning packages to containers. Inland road transportation, specialized lifting, and site assembly may not be included. Ordinary container-terminal handling may be partly embedded in the quoted rate, so no separate standard-container transload cost is added in this version. Do not apply S1 and S2 to the same package."
S2,Sea,Apply to each package when none of the MOUSE ISO-container options fit,50000,150000,USD per heavy-lift piece,2025,Number of heavy-lift pieces,,,"Peoples, V., Microreactors and Transportation Considerations, Idaho National Laboratory, 2025, slide 9",,"Applies to each unfueled oversized package requiring breakbulk or heavy-lift service. The source provides a broad heavy-lift shipment range rather than an explicit per-piece tariff; MOUSE applies the range per oversized package to avoid transportation cost decreasing when more packages become oversized. Several pieces may ultimately share one vessel, so an actual carrier quotation could be lower. The source indicates that costs may exceed 150000 USD. Irradiated-material and INF-class vessel requirements are excluded. Specialized cranes, rigging, inland road legs, and heavy-lift transloads may not be fully included."
A1,Air,Apply when either 'Air - C-17 Globemaster III' fits or 'Air - C-5M Super Galaxy' fits,15000,32000,USD per flight-hour,2025,Flight hours,,,"Peoples, V., Microreactors and Transportation Considerations, Idaho National Laboratory, 2025, slide 8",,"Applies only to an unfueled, nonradioactive package. Compatibility is based on packaged mass and dimensions fitting within at least one aircraft screening envelope. The source provides one general heavy-lift charter range and does not provide separate rates for the C-17 and C-5M, so the same uncertainty range is used for either aircraft. Airport handling, positioning flights, loading equipment, payload-dependent range, and other accessorial costs are not explicitly included."
